Nùžky SingleStepTM  zahradní jednoèepelové;Fiskars 111250;111250;6411501112507;246;
Nùžky SingleStepTM univerzální ;Fiskars 111280;111280;6411501112804;297;
Nùžky SingleStep na silné vìtve, dvouèepelové (S);Fiskars 112160;112160;6411501121608;543;
Nùžky SingleStep na silné vìtve, dvouèepelové (L);Fiskars 112460;112460;6411501124609;684;
Nùžky SingleStep na silné vìtve, jednoèepelové (L);Fiskars 112450;112450;6411501124500;684;
Nùžky SingleStep na živý plot, vlnité ostøí;Fiskars 114730;114730;6411501147301;521;
Nùžky QuantumTM dvouèepelové;Fiskars 111970;111970;6411501119704;1139;
Nùžky QuantumTM na silné vìtve jednoèepelové (L);Fiskars 112610;112610;6411501126108;1740;
Nùžky QuantumTM na silné vìtve dvouèepelové (L);Fiskars 112630;112630;6411501126306;1740;
Nùžky QuantumTM na silné vìtve dvouèepelové (M);Fiskars 112330;112330;6411501123305;1539;
Nùžky QuantumTM na silné vìtve (S), nùžková hlava ;Fiskars 112240;112240;6411501122407;1332;
Nùžky na živé ploty QuantumTM;Fiskars 114820;114820;6411501148209;1413;
Univerzální nùžky 24 cm;Fiskars 111050;111050;6411501110503;506;
Univerzální nùžky 21 cm;Fiskars 111040;111040;6411501110404;372;
Univerzální nùžky 18 cm;Fiskars 111030;111030;6411501110305;357;
Nùžky na kvìtiny;Fiskars 111010;111010;6411501932006;231;
Univerzální zahradní nùžky teleskopické;Fiskars 115560;115560;6411502965638;2529;
Univerzální zahradní nùžky prodloužené;Fiskars 115390;115390;6411501963901;1682;
Univerzální zahradní nùžky;Fiskars 115360;115360;6411501963635;1488;
Nástavec prodlužovací k 115360, 115390 a 115400;Fiskars 110460;110460;6411502964631;669;
Pila proøezávací k 115360, 115390, 110460, 115560;Fiskars 110950;110950;6411501096951;558;
Èesáèek na ovoce k 115360, 111390, 110460, 115560;Fiskars 110970;110970;6411501969705;365;
Nùžky PowerLeverTM pákové na trávu a živý plot;Fiskars 113710;113710;6411502967106;1562;
Nùžky na trávu;Fiskars 111090;111090;6411501110909;402;
Vytrhávaè plevele teleskopický;Fiskars 139920;139920;6411501399205;1139;
Vytrhávaè plevele;Fiskars 139910;139910;6411501969101;930;
Sbìrný koš StaySharpTM;Fiskars 113883;113883;6411501138835;923;
Hrábì SolidTM na listí (L) s násadou, komplet ;Fiskars 135016;135016;6411501350169;410;
Hrábì SolidTM na listí (M) s násadou, komplet ;Fiskars 135026;135026;6411501350268;342;
Univerzální hrábì SolidTM s násadou, komplet;Fiskars 135066;135066;6411501350664;468;
Násada s úchytem SolidTM;Fiskars 135001;135001;6411501350015;224;
Hrábì SolidTM (M);Fiskars 135024;135024;6411501350244;134;
Hrábì SolidTM (L);Fiskars 135014;135014;6411501350145;194;
Hrábì SolidTM - Univerzální;Fiskars 135064;135064;6411501350640;194;
Lehké hrábì na listí (L);Fiskars 135570;135570;5905561335705;543;
Lehké hrábì na listí (M);Fiskars 135560;135560;5905561335606;506;
Hrábì na listí (XL);Fiskars 135591;135591;3157331355914;483;
Hrábì na listí drátìné;Fiskars 135592;135592;3157331355924;729;
Lopata na sníhSnowXpertTM;Fiskars 141001;141001;6411501410016;551;
Hrablo na sníh SnowXpertTM;Fiskars 143001;143001;6411501430014;707;
Hrablo na sníh SnowXpertTM ROLLER;Fiskars 143011;143011;6411501430113;707;
Shrnovaè na sníh SnowXpertTM;Fiskars 143021;143021;6411501430212;1317;
Shrnovaè na sníh skládací;Fiskars 143050;143050;6411503237857;1682;
Shrnovaè na sníh lehký profesionální;Fiskars 143080;143080;7317790493015;1056;
Sshrnovaè na sníh lehký;Fiskars 143060;143060;5905568800435;893;
Lopata na sníh a obilí;Fiskars 142000;142000;6411503235280;774;
Lopata na sníh a obilí;Fiskars 142010;142010;6411503235501;1190;
Lehká lopata do auta;Fiskars 141020;141020;7317794310004;425;
Lopatka do auta a na zahradu;Fiskars 131520;131520;6411503270007;521;
Rýè skládací ARMY;Fiskars 131320;131320;6411503275019;1295;
Škrabka na led;Fiskars 140000;140000;6411503239905;626;
Koštì víceúèelové SolidTM;Fiskars 135541;135541;6411501355416;468;
Lopata SolidTM do auta, hliníková;Fiskars 142081;142081;6411501420817;261;
Hrábì QuikFitTM na listí široké ;Fiskars 135013;135013;6411501350138;305;
Hrábì QuikFitTM na listí (20 prstù) ;Fiskars 135201;135201;6411501352019;372;
Hrábì QuikFitTM široké (58 cm);Fiskars 135514;135514;5905568540331;521;
Provzdušòovací QuikFitTM hrábì;Fiskars 135513;135513;5905568540324;618;
Vìjíø QuikFitTM úzký;Fiskars 135552;135552;6411501355522;209;
Nùž QuikFitTM na okraje trávníkù;Fiskars 136526;136526;5905568540454;365;
Hrábì QuikFitTM (14 hrotù);Fiskars 135511;135511;5905568540300;342;
Hrábì QuikFitTM (16 hrotù);Fiskars 135512;135512;5905568540317;372;
Hrábì QuikFitTM univerzální;Fiskars 135051;135051;6411501350510;305;
Hrábì QuikFitTM úzké;Fiskars 135501;135501;5905568540355;342;
Kultivátor QuikFitTM se 3 hroty;Fiskars 136511;136511;5905568540423;357;
Kultivátor QuikFitTM se 3 hroty a motyèkou;Fiskars 136512;136512;5905568540416;402;
Kultivátor QuikFitTM;Fiskars 136517;136517;5905568365170;305;
Motyèka QuikFitTM;Fiskars 136503;136503;5905568540379;305;
Škrabka QuikFitTM na plevel;Fiskars 139970;139970;5905568540409;372;
Motyèka QuikFitTM se 3 okraji;Fiskars 136513;136513;5905568540430;305;
Provzdušòovaè trávníku QuikFitTM;Fiskars 136524;136524;6411501365248;707;
Kultivátor QuikFitTM malý zahnutý;Fiskars 136515;136515;5905568365156;216;
Škrabka QuikFitTM na èištìní spár dvoustranná;Fiskars 137562;137562;5905568375629;216;
Motyèka QuikFitTM dvoustranná;Fiskars 137572;137572;5905568375728;216;
Vidle QuikFitTM malé ploché;Fiskars 137552;137552;5905568375520;216;
Lopatka QuikFitTM;Fiskars 137512;137512;5905568375124;216;
Vypichovák plevele QuikFitTM;Fiskars 137522;137522;5905568375223;201;
Univerzální nùžky QuikFitTM;Fiskars 136525;136525;6411501365255;1011;
Pila QuikFitTM proøezávací zahnutá;Fiskars 136527;136527;5905568365279;810;
Pila QuikFitTM proøezávací pøímá;Fiskars 136528;136528;5905568365286;611;
Trháèek QuikFitTM na ovoce;Fiskars 136950;136950;5905568369505;468;
Èistiè okapù QuikFitTM;Fiskars 135542;135542;5905568355423;506;
Koštì QuikFitTM univerzální;Fiskars 135532;135532;5905568355324;402;
Koštì QuikFitTM na terasy;Fiskars 135533;135533;5905568355331;402;
Smeták QuikFitTM;Fiskars 135534;135534;5905568355348;402;
Kartáè QuikFitTM na spáry;Fiskars 135522;135522;5905568355225;305;
Nùž QuikFitTM na spáry;Fiskars 136521;136521;5905568540393;261;
Hrablo QuikFitTM na sníh;Fiskars 143210;143210;6411501432100;342;
Násada QuikFitTM Graphite;Fiskars 136001;136001;5905568540461;305;
Násada QuikFitTM støední;Fiskars 136022;136022;5905568360229;246;
Násada QuikFitTM krátká;Fiskars 136012;136012;5905568360120;104;
Univerzální adaptér QuikFitTM;Fiskars 130000;130000;6411501300003;104;
Nùžky na bylinky a kvìtiny;Fiskars 111810;111810;6411501118103;246;
Inspiration nùžky dvouèepelové Ruby;Fiskars 111256;111256;6411501112569;282;
Inspiration nùžky dvouèepelové Lucy;Fiskars 111257;111257;6411501112576;282;
Kalaè 2500;Fiskars 122160;122160;6411501221605;1554;
Kalaè 3700;Fiskars 122161;122161;6411501221612;1704;
Kalaè Safe T;Fiskars 122150;122150;3157331221509;2075;
