;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 10.80-ND-01;10.80-ND-01;tyè postøikovací 60cm se spouští k 10.80-PT-12 a 20;189
Proteco 10.80-ND-02;10.80-ND-02;maneta tìsnící 4.5/2.5 k 10.80-PT-12 a 20;20
Proteco 10.80-ND-04;10.80-ND-04;tryska plochá pro 12L postøikovaè;69
Proteco 10.80-ND-05;10.80-ND-05;tryska plochá pro 16 a 20 L postøikovaèe;78
Proteco 10.80-ND-06;10.80-ND-06;tyè postøikovací 40cm se spouští k 10.80-PT-05 a 07;189
Proteco 10.80-ND-07;10.80-ND-07;tyè prodluovací teleskopická se spouští k PT-12, 16, 20;232
Proteco 10.80-PT-02;10.80-PT-02;postøikovaè   2 L  PROTECO Garden ruèní tlakovı;121
Proteco 10.80-PT-05;10.80-PT-05;postøikovaè   5 L  PROTECO Garden ruèní tlakovı;493
Proteco 10.80-PT-07;10.80-PT-07;postøikovaè   7 L  PROTECO Garden ruèní tlakovı;515
Proteco 10.80-PT-12;10.80-PT-12;postøikovaè 12 L  PROTECO Garden ruèní tlakovı;685
Proteco 10.80-PT-12-K;10.80-PT-12-K;postøikovaè 12 L  PROTECO Garden ruèní tlakovı s koleèky;990
Proteco 10.80-PT-16;10.80-PT-16;postøikovaè 16 L  PROTECO Garden ruèní tlakovı;714
Proteco 10.80-PT-20;10.80-PT-20;postøikovaè 20 L  PROTECO Garden ruèní tlakovı;736
Proteco 10.81-050-20-P;10.81-050-20-P;"hadice opletená dvouvrstvá  1/2""  balení 20 m  PROTECO Garden";181
Proteco 10.81-050-30-P;10.81-050-30-P;"hadice opletená dvouvrstvá  1/2""  balení 30 m  PROTECO Garden";266
Proteco 10.81-050-50-P;10.81-050-50-P;"hadice opletená dvouvrstvá  1/2""  balení 50 m  PROTECO Garden";443
Proteco 10.81-075-25-P;10.81-075-25-P;"hadice opletená dvouvrstvá  3/4""  balení 25 m  PROTECO Garden";421
Proteco 10.81-075-50-P;10.81-075-50-P;"hadice opletená dvouvrstvá  3/4""  balení 50 m  PROTECO Garden";893
Proteco 10.81-100-25-P;10.81-100-25-P;"hadice opletená dvouvrstvá  1""  balení 25 m  PROTECO Garden";914
Proteco 10.81-100-50-P;10.81-100-50-P;"hadice opletená dvouvrstvá  1""  balení 50 m  PROTECO Garden";1829
Proteco 10.81-C-050-20;10.81-C-050-20;"hadice tøívrstvá CARAT  1/2""  balení 20 m  PROTECO Garden";246
Proteco 10.81-C-050-30;10.81-C-050-30;"hadice tøívrstvá CARAT  1/2""  balení 30 m  PROTECO Garden";368
Proteco 10.81-C-050-50;10.81-C-050-50;"hadice tøívrstvá CARAT  1/2""  balení 50 m  PROTECO Garden";614
Proteco 10.81-C-075-25;10.81-C-075-25;"hadice tøívrstvá CARAT  3/4""  balení 25 m  PROTECO Garden";516
Proteco 10.81-C-075-50;10.81-C-075-50;"hadice tøívrstvá CARAT  3/4""  balení 50 m  PROTECO Garden";1060
Proteco 10.81-C-100-25;10.81-C-100-25;"hadice tøívrstvá CARAT  1""  balení 25 m  PROTECO Garden";944
Proteco 10.81-C-100-50;10.81-C-100-50;"hadice tøívrstvá CARAT  1""  balení 50 m  PROTECO Garden";1888
Proteco 10.81-FLEXI-X3;10.81-FLEXI-X3;hadice zahradní flexibilní  7m/22m;621
Proteco 10.81-FLEXI-X3-10;10.81-FLEXI-X3-10;hadice zahradní flexibilní  10m/30m;808
Proteco 10.81-PL-2-50;10.81-PL-2-50;"hadice plochá 2"" k èerpadlùm balení 50m (WAF)";1577
Proteco 10.82-01530;10.82-01530;pila oblouková  530 mm  kalené zuby  PROTECO Fusion;141
Proteco 10.82-01610;10.82-01610;pila oblouková  610 mm  kalené zuby  PROTECO Fusion;154
Proteco 10.82-01760;10.82-01760;pila oblouková  760 mm  kalené zuby  PROTECO Fusion;155
Proteco 10.82-01910;10.82-01910;pila oblouková  910 mm  kalené zuby  PROTECO Fusion;158
Proteco 10.82-02350;10.82-02350;pila ocaska 350 mm  kalené zuby  PROTECO;137
Proteco 10.82-02400;10.82-02400;pila ocaska 400 mm  kalené zuby  PROTECO;125
Proteco 10.82-02500;10.82-02500;pila ocaska 500 mm  kalené zuby  PROTECO;148
Proteco 10.82-0317;10.82-0317;pila ocaska na porobeton 17 zubù HM 700 mm  PROTECO;293
Proteco 10.82-0334;10.82-0334;pila ocaska na porobeton 34 zubù HM 700 mm  PROTECO;397
Proteco 10.82-PC-350;10.82-PC-350;pila èepovka 350mm;107
Proteco 10.82-PD-300;10.82-PD-300;pila dìrovka 300mm;100
Proteco 10.82-PK-300;10.82-PK-300;pila na kov s plátkem 300mm;293
Proteco 10.82-PK500-25;10.82-PK500-25;kotouè pilovı na døevo 500x2.5x30 56z;1090
Proteco 10.82-PK600-28;10.82-PK600-28;kotouè pilovı na døevo 600x2.8x30 56z;1734
Proteco 10.82-PK600-35;10.82-PK600-35;kotouè pilovı na døevo 600x3.5x30 56z;2375
Proteco 10.82-PK700-32;10.82-PK700-32;kotouè pilovı na døevo 700x3.2x30 56z;2457
Proteco 10.82-PKL-300-BI;10.82-PKL-300-BI;"list pily na kov jednostrannı Bi-Metal 12"" 24TPi";18
Proteco 10.82-PKL-300-CR;10.82-PKL-300-CR;"list pily na kov jednostrannı Cr 12"" 24TPi";5
Proteco 10.82-POK-300;10.82-POK-300;pokosnice 300mm plastová;89
Proteco 10.82-PPA-300;10.82-PPA-300;pila proøezávací 300mm,pilovı plátek prohnutı+rovnı PROTECO Fusion;658
Proteco 10.82-PPM-200;10.82-PPM-200;pila proøezávací 150mm;71
Proteco 10.82-PPN-2500;10.82-PPN-2500;pila proøezávací s nástavcem 2,5m PROTECO Fusion;594
Proteco 10.82-PPP-300;10.82-PPP-300;pila proøezávací 300mm s pouzdrem PROTECO Garden;155
Proteco 10.82-PPS-250;10.82-PPS-250;pila proøezávací sklápìcí 250mm PROTECO Fusion;142
Proteco 10.82-PS-150;10.82-PS-150;"pilka na sádrokarton 150mm (6"")";94
Proteco 10.82-PZ-375;10.82-PZ-375;pila proøezávací zasunovací 375mm PROTECO Fusion;129
Proteco 10.83-0600;10.83-0600;sekera 0600g PROTECO Garden se sklolaminátovou rukojetí;176
Proteco 10.83-0600-D;10.83-0600-D;sekera 0600g PROTECO Garden s døevìnou rukojetí;1509
Proteco 10.83-0600-G;10.83-0600-G;sekera 0600g PROTECO Garden s grafitovou rukojetí;282
Proteco 10.83-0800;10.83-0800;sekera 0800g PROTECO Garden se sklolaminátovou rukojetí;274
Proteco 10.83-0800-D;10.83-0800-D;sekera 0800g PROTECO Garden s døevìnou rukojetí;1509
Proteco 10.83-0800-G;10.83-0800-G;sekera 0800g PROTECO Garden s grafitovou rukojetí;301
Proteco 10.83-1000;10.83-1000;sekera 1000g PROTECO Garden se sklolaminátovou rukojetí;279
Proteco 10.83-1000-D;10.83-1000-D;sekera 1000g PROTECO Garden s døevìnou rukojetí;1509
Proteco 10.83-1000-G;10.83-1000-G;sekera 1000g PROTECO Garden s grafitovou rukojetí;321
Proteco 10.83-1250;10.83-1250;sekera 1250g PROTECO Garden se sklolaminátovou rukojetí;376
Proteco 10.83-1250-D;10.83-1250-D;sekera 1250g PROTECO Garden s døevìnou rukojetí;1509
Proteco 10.83-1500;10.83-1500;sekera 1500g PROTECO Garden se sklolaminátovou rukojetí;418
Proteco 10.83-1500-D;10.83-1500-D;sekera 1500g PROTECO Garden s døevìnou rukojetí;1509
Proteco 10.83-1800;10.83-1800;sekera 1800g PROTECO Garden se sklolaminátovou rukojetí;476
Proteco 10.83-1800-D;10.83-1800-D;sekera 1800g PROTECO Garden s døevìnou rukojetí;1509
Proteco 10.84-2500;10.84-2500;kalaè 2.5kg PROTECO Fusion se sklolam. ruk.;506
Proteco 10.84-3500;10.84-3500;kalaè 3.5kg PROTECO Garden se sklolam.ruk.;569
Proteco 10.85-0100;10.85-0100;rıè špièatı PROTECO Garden se sklolaminátovou násadou 1200mm;260
Proteco 10.85-0100-D;10.85-0100-D;rıè špièatı PROTECO Garden s døevìnou násadou 1200mm;201
Proteco 10.85-0100-K;10.85-0100-K;rıè špièatı PROTECO Fusion celokovovı;431
Proteco 10.85-0100-N;10.85-0100-N;rıè špièatı PROTECO Fusion nerezovı s hliníkovou násadou;553
Proteco 10.85-0200;10.85-0200;rıè rovnı PROTECO Garden se sklolaminátovou násadou 1200mm;260
Proteco 10.85-0200-D;10.85-0200-D;rıè rovnı PROTECO Garden s døevìnou násadou 1200mm;201
Proteco 10.85-0200-K;10.85-0200-K;rıè rovnı PROTECO Fusion celokovovı;435
Proteco 10.85-0200-N;10.85-0200-N;rıè rovnı PROTECO Fusion nerezovı s hliníkovou násadou;601
Proteco 10.85-0300;10.85-0300;vidle PROTECO Garden se sklolaminátovou násadou 1200mm;300
Proteco 10.85-0300-D;10.85-0300-D;vidle PROTECO Garden s døevìnou násadou 1200mm;263
Proteco 10.85-0300-K;10.85-0300-K;vidle PROTECO Fusion celokovové;491
Proteco 10.85-0300-N;10.85-0300-N;vidle PROTECO Fusion nerezové s hliníkovou násadou;901
Proteco 10.85-1000-L;10.85-1000-L;hrábì na listí drátìné PROTECO Fusion s násadou;501
Proteco 10.85-1000-P12;10.85-1000-P12;hrábì zahradní plastové 12-zubé bez násady PROTECO Fusion;121
Proteco 10.85-1000-P13;10.85-1000-P13;hrábì na listí plastové 13-zubé bez násady PROTECO Fusion;71
Proteco 10.85-1000-P18;10.85-1000-P18;hrábì zahradní plastové 18-zubé bez násady PROTECO Fusion;121
Proteco 10.85-1000-P23;10.85-1000-P23;hrábì na listí plastové 23-zubé bez násady PROTECO Fusion;149
Proteco 10.85-1000-P35;10.85-1000-P35;hrábì na listí plastové 35-zubé bez násady PROTECO Fusion;226
Proteco 10.85-1000-P35-N;10.85-1000-P35-N;hrábì na listí plastové 35-zubé s násadou PROTECO Fusion;497
Proteco 10.85-1000-X;10.85-1000-X;násada na hrábì na listí PROTECO Fusion pro P13,23,35;236
Proteco 10.85-1000-X01;10.85-1000-X01;násada na hrábì na listí PROTECO Fusion pro P12, P18;263
Proteco 10.85-1100;10.85-1100;hrábì zahradní PROTECO Fusion s násadou;532
Proteco 10.86-CK-0750;10.86-CK-0750;èerpadlo kalové 750W;3457
Proteco 10.86-CK-1100;10.86-CK-1100;èerpadlo kalové 1100W;3941
Proteco 10.86-CP-0250;10.86-CP-0250;èerpadlo ponorné   250W,   4000L/hod, max. hloubka 5m PLAST;1087
Proteco 10.86-CP-1000;10.86-CP-1000;èerpadlo ponorné 4-stupòové 1000W,   5500L/hod, max. vıtlak 40m;2510
Proteco 10.86-CPK-0400;10.86-CPK-0400;èerpadlo ponorné   400W,   7500L/hod, max. hloubka 5m PLAST;1116
Proteco 10.86-CPK-0750;10.86-CPK-0750;èerpadlo ponorné   750W, 13000L/hod, max. hloubka 8m PLAST;1414
Proteco 10.86-CPK-0750N;10.86-CPK-0750N;èerpadlo ponorné   750W, 13000L/hod, max. hloubka 8m NEREZ;1747
Proteco 10.86-CPK-1100N;10.86-CPK-1100N;èerpadlo ponorné 1100W, 15500L/hod, max. hloubka 11m NEREZ;1967
Proteco 10.86-CS-250;10.86-CS-250;èerpadlo do sudu na dešovou vodu 250W;1480
Proteco 10.86-CZ-1000;10.86-CZ-1000;èerpadlo zahradní 1000W nerezové - novı typ;1852
Proteco 10.86-KR-KORBA;10.86-KR-KORBA;korba ke koleèku rozloenému PROTECO;390
Proteco 10.86-KR-NAFUK;10.86-KR-NAFUK;kolo náhradní nafukovací ke koleèku rozloenému PROTECO;262
Proteco 10.86-KR-PLNE;10.86-KR-PLNE;kolo plné náhradní ke koleèku rozloenému PROTECO;324
Proteco 10.86-KR-RAM;10.86-KR-RAM;rám ke koleèku rozloenému PROTECO;406
Proteco 10.86-NDV-210;10.86-NDV-210;nádoba na dešovou vodu 210L;434
Proteco 10.86-NDV-310;10.86-NDV-310;nádoba na dešovou vodu 310L;725
Proteco 10.86-P120-C;10.86-P120-C;popelnice 120 L  plastová èerná s koleèky;939
Proteco 10.86-P120-CR;10.86-P120-CR;popelnice 120 L  plastová èervená s koleèky;939
Proteco 10.86-P120-HN;10.86-P120-HN;popelnice 120 L  plastová hnìdá s koleèky;939
Proteco 10.86-P120-MO;10.86-P120-MO;popelnice 120 L  plastová modrá s koleèky;939
Proteco 10.86-P120-Z;10.86-P120-Z;popelnice 120 L  plastová zelená s koleèky;939
Proteco 10.86-P120-ZL;10.86-P120-ZL;popelnice 120 L  plastová lutá s koleèky;939
Proteco 10.86-P240-C;10.86-P240-C;popelnice 240 L  plastová èerná s koleèky;1278
Proteco 10.86-P240-Z;10.86-P240-Z;popelnice 240 L  plastová zelená s koleèky;1278
Proteco 10.86-SH-1;10.86-SH-1;"hadice sací 1"" (balení = 56,5m)";2409
Proteco 10.86-SK-M;10.86-SK-M;sada koncovek k sací hadici mosaz;360
Proteco 10.86-SK-P;10.86-SK-P;sada koncovek k sací hadici plast;78
Proteco 10.87-HS-460;10.87-HS-460;hrablo na sníh 46 cm s kovovou poplastov. násadou PROTECO Fusion;412
Proteco 10.87-HS-500;10.87-HS-500;hrablo na sníh 50 cm s kovovou poplastov. násadou PROTECO Fusion;478
Proteco 10.87-HS-540;10.87-HS-540;hrablo na sníh 54 cm s hliníkoovu násadou PROTECO Fusion;607
Proteco 10.87-LS-240;10.87-LS-240;lopata na sníh 24 cm Al s døevìnou násadou PROTECO Fusion;445
Proteco 10.87-LS-370;10.87-LS-370;lopata na sníh 37 cm s døevìnou násadou PROTECO Fusion;495
Proteco 10.88-CP-01;10.88-CP-01;clona plotová 1.5 x 3m - bøeèan;1377
Proteco 10.88-CP-02;10.88-CP-02;clona plotová 1.5 x 3m - vavøín;1352
Proteco 10.88-DC-01;10.88-DC-01;clona dekorativní  50 x 50 cm, 4ks;712
Proteco 10.88-P-10-12;10.88-P-10-12;plachta  10x12 m  nepromokavá s oky PROTECO;1156
Proteco 10.88-P-10-20;10.88-P-10-20;plachta  10x20 m  nepromokavá s oky PROTECO;1927
Proteco 10.88-P-20-20;10.88-P-20-20;plachta  20x20 m  nepromokavá s oky PROTECO;3442
Proteco 10.88-P-2-3;10.88-P-2-3;plachta  2x3 m  nepromokavá s oky PROTECO (bal.=40ks);58
Proteco 10.88-P-2-8;10.88-P-2-8;plachta  2x8 m  nepromokavá s oky PROTECO (bal.=20ks);154
Proteco 10.88-P-3-4;10.88-P-3-4;plachta  3x4 m  nepromokavá s oky PROTECO (bal.=20ks);116
Proteco 10.88-P-3-5;10.88-P-3-5;plachta  3x5 m  nepromokavá s oky PROTECO (bal.=20ks);145
Proteco 10.88-P-4-5;10.88-P-4-5;plachta  4x5 m  nepromokavá s oky PROTECO (bal.=20ks);193
Proteco 10.88-P-4-6;10.88-P-4-6;plachta  4x6 m  nepromokavá s oky PROTECO (bal.=10ks);231
Proteco 10.88-P-5-6;10.88-P-5-6;plachta  5x6 m  nepromokavá s oky PROTECO (bal.=8ks);289
Proteco 10.88-P-5-8;10.88-P-5-8;plachta  5x8 m  nepromokavá s oky PROTECO (bal.=8ks);385
Proteco 10.88-P-6-10;10.88-P-6-10;plachta  6x10 m  nepromokavá s oky PROTECO (bal.=4ks);578
Proteco 10.88-P-8-12;10.88-P-8-12;plachta  8x12 m  nepromokavá s oky PROTECO (bal.=4ks);925
Proteco 10.89-B-11005;10.89-B-11005;textilie netkaná  1.1 x 5 m  bílá 17g/m2 PROTECO GARDEN;31
Proteco 10.89-B-11010;10.89-B-11010;textilie netkaná  1.1 x 10 m  bílá 17g/m2 PROTECO GARDEN;63
Proteco 10.89-B-11050;10.89-B-11050;textilie netkaná  1.1 x 50 m  bílá 17g/m2 PROTECO GARDEN;232
Proteco 10.89-B-11100;10.89-B-11100;textilie netkaná  1.1 x 100 m  bílá 17g/m2 PROTECO GARDEN;434
Proteco 10.89-B-16005;10.89-B-16005;textilie netkaná  1.6 x 5 m  bílá 17g/m2 PROTECO GARDEN;49
Proteco 10.89-B-16010;10.89-B-16010;textilie netkaná  1.6 x 10 m  bílá 17g/m2 PROTECO GARDEN;79
Proteco 10.89-B-16050;10.89-B-16050;textilie netkaná  1.6 x 50 m  bílá 17g/m2 PROTECO GARDEN;331
Proteco 10.89-B-16100;10.89-B-16100;textilie netkaná  1.6 x 100 m  bílá 17g/m2 PROTECO GARDEN;625
Proteco 10.89-B-32005;10.89-B-32005;textilie netkaná  3.2 x 5 m  bílá 17g/m2 PROTECO GARDEN;85
Proteco 10.89-B-32010;10.89-B-32010;textilie netkaná  3.2 x 10 m  bílá 17g/m2 PROTECO GARDEN;154
Proteco 10.89-C-11005;10.89-C-11005;textilie netkaná  1.1 x 5 m  èerná 50g/m2 PROTECO GARDEN;70
Proteco 10.89-C-11010;10.89-C-11010;textilie netkaná  1.1 x 10 m  èerná 50g/m2 PROTECO GARDEN;125
Proteco 10.89-C-11050;10.89-C-11050;textilie netkaná  1.1 x 50 m  èerná 50g/m2 PROTECO GARDEN;522
Proteco 10.89-C-11100;10.89-C-11100;textilie netkaná  1.1 x 100 m  èerná 50g/m2 PROTECO GARDEN;1014
Proteco 10.89-C-11200;10.89-C-11200;textilie netkaná  1.1 x 200 m  èerná 50g/m2 PROTECO GARDEN;2011
Proteco 10.89-C-16005;10.89-C-16005;textilie netkaná  1.6 x 5 m  èerná 50g/m2 PROTECO GARDEN;96
Proteco 10.89-C-16010;10.89-C-16010;textilie netkaná  1.6 x 10 m  èerná 50g/m2 PROTECO GARDEN;177
Proteco 10.89-C-16050;10.89-C-16050;textilie netkaná  1.6 x 50 m  èerná 50g/m2 PROTECO GARDEN;750
Proteco 10.89-C-16100;10.89-C-16100;textilie netkaná  1.6 x 100 m  èerná 50g/m2 PROTECO GARDEN;1470
Proteco 10.89-C-16200;10.89-C-16200;textilie netkaná  1.6 x 200 m  èerná 50g/m2 PROTECO GARDEN;2915
Proteco 10.89-C-32005;10.89-C-32005;textilie netkaná  3.2 x 5 m  èerná 50g/m2 PROTECO GARDEN;184
Proteco 10.89-C-32010;10.89-C-32010;textilie netkaná  3.2 x 10 m  èerná 50g/m2 PROTECO GARDEN;346
Proteco 10.89-C-32050;10.89-C-32050;textilie netkaná  3.2 x 50 m  èerná 50g/m2 PROTECO GARDEN;1544
Proteco 10.89-C-32100;10.89-C-32100;textilie netkaná  3.2 x 100 m  èerná 50g/m2 PROTECO GARDEN;3032
Proteco 10.99-005;10.99-005;systém závìsnı 5-dílnı PROTECO (4 + 1);900
Proteco 10.99-006;10.99-006;systém závìsnı 6-dílnı PROTECO (5 + 1);1274
Proteco 10.99-008;10.99-008;systém závìsnı 8-dílnı PROTECO (6 + 2);1483
Proteco 10.99-009;10.99-009;systém závìsnı 9-dílnı PROTECO (7 + 2);1979
Proteco 10.99-101;10.99-101;háèek universální poplastovanı 26cm x 8mm;218
Proteco 10.99-102;10.99-102;"háèek závìsnı ""J"" poplastovanı 16cm x 8mm";167
Proteco 10.99-103;10.99-103;háèek na hadice poplastovanı 25cm x 8mm;181
Proteco 10.99-104;10.99-104;háèek na elektronáøadí poplastovanı 19cm x 8mm;206
Proteco 10.99-105;10.99-105;háèek na košata, smetáky poplastovanı 19cm x 8mm;180
Proteco 10.99-106;10.99-106;háèek na kola poplastovanı 8mm;216
Proteco 10.99-201-C;10.99-201-C;koš závìsnı 30 x 20 x 10 cm drátìnı èernı;321
Proteco 10.99-201-S;10.99-201-S;koš závìsnı 30 x 20 x 10 cm drátìnı šedı;321
Proteco 10.99-202-C;10.99-202-C;koš závìsnı 41 x 29 x 10 cm drátìnı èernı;519
Proteco 10.99-202-S;10.99-202-S;koš závìsnı 41 x 29 x 10 cm drátìnı šedı;519
Proteco 10.99-203-C;10.99-203-C;koš závìsnı 61.5 x 30 x 13 cm drátìnı èernı;642
Proteco 10.99-203-S;10.99-203-S;koš závìsnı 61.5 x 30 x 13 cm drátìnı šedı;642
Proteco 10.99-204;10.99-204;koš závìsnı 40 x 20 x 13 cm plátìnı;227
Proteco 10.99-901;10.99-901;lišta závìsná 80cm;184
Proteco 10.99-902;10.99-902;lišta závìsná 118cm;272
Proteco 11.AG-210;11.AG-210;"vozík na zahr.hadici, 1/2"" 50m s koleèky ZINCATO";984
Proteco 11.AG-240;11.AG-240;"vozík na zahr.hadici, 1/2"" 60m s koleèky DROP";575
Proteco 11.AG-695;11.AG-695;sprcha zahradní s regulací prùtoku vody;628
Proteco 11.AR-BUT-07B;11.AR-BUT-07B;rukavice OPAL bílé vel.7;16
Proteco 11.AR-BUT-10B;11.AR-BUT-10B;rukavice OPAL bílé vel.10;16
Proteco 11.AR-BUT-10CZ;11.AR-BUT-10CZ;rukavice MORION èerné vel.10;16
Proteco 11.AR-DIP-10SZ;11.AR-DIP-10SZ;rukavice DRAGO NOIR èerné vel.10;18
Proteco 11.AR-DRAG-10;11.AR-DRAG-10;rukavice DRAGO èerné vel.10;19
Proteco 11.ASCN-08-17500;11.ASCN-08-17500;sí opìrná  1.7 x 500 m  pro rostliny oka 15x17cm;1540
Proteco 11.ASCO-10050;11.ASCO-10050;sí stínící  1 x 50 m  135 g/m2 (90%) role;1353
Proteco 11.ASCO-15050;11.ASCO-15050;sí stínící  1.5 x 50 m  135 g/m2 (90%) role;1888
Proteco 11.ASCO-20050;11.ASCO-20050;sí stínící  2 x 50 m  135 g/m2 (90%) role;2317
Proteco 11.ASCO-60-10050;11.ASCO-60-10050;sí stínící  1 x 50 m  60 g/m2 (55%) role;610
Proteco 11.ASCO-60-15050;11.ASCO-60-15050;sí stínící  1.5 x 50 m  60 g/m2 (55%) role;914
Proteco 11.ASCO-60-200120;11.ASCO-60-200120;sí stínící  2.0 x 120 m  60 g/m2 (55%) role;2924
Proteco 11.ASCO-60-30080;11.ASCO-60-30080;sí stínící  3 x 80 m  60 g/m2 (55%) role;2924
Proteco 11.ASCO-60-40060;11.ASCO-60-40060;sí stínící  4 x 60 m  60 g/m2 (55%) role;2924
Proteco 11.ASCO-60-60040;11.ASCO-60-60040;sí stínící  6 x 40 m  60 g/m2 (55%) role;2924
Proteco 11.AS-UN10100-BK;11.AS-UN10100-BK;pletivo proti krtkùm 1x100m s oky 19x19mm;1441
Proteco 11.AS-UN20200-BK;11.AS-UN20200-BK;pletivo proti krtkùm 2x200m s oky 19x19mm;4616
Proteco 11.AT-70-04100;11.AT-70-04100;textilie netkaná  0.4 x 100 m  èerná 70g/m2 role;398
Proteco 11.AT-70-06100;11.AT-70-06100;textilie netkaná  0.6 x 100 m  èerná 70g/m2 role;597
Proteco 11.AT-70-08100;11.AT-70-08100;textilie netkaná  0.8 x 100 m  èerná 70g/m2 role;796
Proteco 11.AT-70-11100;11.AT-70-11100;textilie netkaná  1.1 x 100 m  èerná 70g/m2 role;1095
Proteco 11.AT-70-16100;11.AT-70-16100;textilie netkaná  1.6 x 100 m  èerná 70g/m2 role;1592
Proteco 11.AT-70-32100;11.AT-70-32100;textilie netkaná  3.2 x 100 m  èerná 70g/m2 role;3185
Proteco 11.AT-94-04100;11.AT-94-04100;textilie netkaná  0.4 x 100 m  èerná 94g/m2 role;509
Proteco 11.AT-94-06100;11.AT-94-06100;textilie netkaná  0.6 x 100 m  èerná 94g/m2 role;764
Proteco 11.AT-94-08100;11.AT-94-08100;textilie netkaná  0.8 x 100 m  èerná 94g/m2 role;1018
Proteco 11.AT-94-11100;11.AT-94-11100;textilie netkaná  1.1 x 100 m  èerná 94g/m2 role;1400
Proteco 11.AT-94-16100;11.AT-94-16100;textilie netkaná  1.6 x 100 m  èerná 94g/m2 role;2036
Proteco 11.AT-94-20100;11.AT-94-20100;textilie netkaná  2.0 x 100 m  èerná 94g/m2 role;2407
Proteco 11.AT-94-22100;11.AT-94-22100;textilie netkaná  2.2 x 100 m  èerná 94g/m2 role;2648
Proteco 11.AT-94-27100;11.AT-94-27100;textilie netkaná  2.7 x 100 m  èerná 94g/m2 role;3250
Proteco 11.AT-94-32100;11.AT-94-32100;textilie netkaná  3.2 x 100 m  èerná 94g/m2 role;3852
Proteco 11.ATBK-105-11100;11.ATBK-105-11100;textilie netkaná  1.05 x 100 m  èerná 105g/m2 role;1594
Proteco 11.ATBK-105-16100;11.ATBK-105-16100;textilie netkaná  1.6 x 100 m  èerná 105g/m2 role;2435
Proteco 11.ATBK-105-32100;11.ATBK-105-32100;textilie netkaná  3.2 x 100 m  èerná 105g/m2 role;4869
Proteco 11.ATBR-70-04100;11.ATBR-70-04100;textilie netkaná  0.4 x 100 m  hnìdá 70g/m2 role;415
Proteco 11.ATBR-70-06100;11.ATBR-70-06100;textilie netkaná  0.6 x 100 m  hnìdá 70g/m2 role;623
Proteco 11.ATBR-70-08100;11.ATBR-70-08100;textilie netkaná  0.8 x 100 m  hnìdá 70g/m2 role;831
Proteco 11.ATBR-70-11100;11.ATBR-70-11100;textilie netkaná  1.1 x 100 m  hnìdá 70g/m2 role;1142
Proteco 11.ATBR-70-16100;11.ATBR-70-16100;textilie netkaná  1.6 x 100 m  hnìdá 70g/m2 role;1662
Proteco 11.ATS-12;11.ATS-12;høeb plastovı 12 cm na textilie - 100ks;73
Proteco 11.ATS-1705;11.ATS-1705;høeb plastovı  17 x 5 cm  3-hrotı na textilie;2
Proteco 11.ATS-1710;11.ATS-1710;høeb plastovı  17 x 10 cm  3-hrotı na textilie;2
Proteco 11.AWW-17-11200;11.AWW-17-11200;textilie netkaná  1.1 x 200 m  bílá 17g/m2 role;483
Proteco 11.AWW-17-16200;11.AWW-17-16200;textilie netkaná  1.6 x 200 m  bílá 17g/m2 role;861
Proteco 11.AWW-17-32100;11.AWW-17-32100;textilie netkaná  3.2 x 100 m  bílá 17g/m2 role;872
Proteco 11.AWW-17-32200;11.AWW-17-32200;textilie netkaná  3.2 x 200 m  bílá 17g/m2 role;1720
Proteco 11.AWWR-17-0610;11.AWWR-17-0610;textilie netkaná  0.6 x 10 m  bílá 17g/m2 rukáv;35
Proteco 11.AWWR-17-0620;11.AWWR-17-0620;textilie netkaná  0.6 x 20 m  bílá 17g/m2 rukáv;63
Proteco 11.BSW2-12-2032;11.BSW2-12-2032;spona hadicová  20-32 mm, šíøka 12mm W2;5
Proteco 11.BSW2-12-2540;11.BSW2-12-2540;spona hadicová  25-40 mm, šíøka 12mm W2;6
Proteco 11.BSW2-12-3250;11.BSW2-12-3250;spona hadicová  32-50 mm, šíøka 12mm W2;6
Proteco 11.BSW2-12-4060;11.BSW2-12-4060;spona hadicová  40-60 mm, šíøka 12mm W2;6
Proteco 11.BSW2-12-5070;11.BSW2-12-5070;spona hadicová  50-70 mm, šíøka 12mm W2;7
Proteco 11.BSW2-9-0812;11.BSW2-9-0812;spona hadicová  08-12 mm, šíøka 9mm W2;3
Proteco 11.BSW2-9-1016;11.BSW2-9-1016;spona hadicová  10-16 mm, šíøka 9mm W2;3
Proteco 11.BSW2-9-1220;11.BSW2-9-1220;spona hadicová  12-20 mm, šíøka 9mm W2;3
Proteco 11.BSW2-9-1222;11.BSW2-9-1222;spona hadicová  12-22 mm, šíøka 9mm W2;4
Proteco 11.BSW2-9-1627;11.BSW2-9-1627;spona hadicová  16-27 mm, šíøka 9mm W2;3
Proteco 11.BSW2-9-2032;11.BSW2-9-2032;spona hadicová  20-32 mm, šíøka 9mm W2;5
Proteco 11.BSW2-9-2540;11.BSW2-9-2540;spona hadicová  25-40 mm, šíøka 9mm W2;4
Proteco 11.BSW2-9-3250;11.BSW2-9-3250;spona hadicová  32-50 mm, šíøka 9mm W2;4
Proteco 11.BSW2-9-4060;11.BSW2-9-4060;spona hadicová  40-60 mm, šíøka 9mm W2;4
Proteco 11.BSW2-9-5070;11.BSW2-9-5070;spona hadicová  50-70 mm, šíøka 9mm W2;6
