;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 10.01-PKH160-RD;10.01-PKH160-RD;kleštì na pojistné krouky - høídel rovné 160mm PH;46
Proteco 10.01-PKO160D;10.01-PKO160D;kleštì na pojistné krouky - otvor 90st.  150mm PH;46
Proteco 10.01-PKO160-RD;10.01-PKO160-RD;kleštì na pojistné krouky - otvor rovné 160mm PH;46
Proteco 10.01-S200A;10.01-S200A;kleštì SIKO 200mm Ni dvouplast;112
Proteco 10.01-S250A;10.01-S250A;kleštì SIKO 250mm Ni dvouplast;128
Proteco 10.01-S250C;10.01-S250C;kleštì SIKO 250mm leštìné PVC;120
Proteco 10.01-S300A;10.01-S300A;kleštì SIKO 300mm Ni dvouplast;194
Proteco 10.01-S300C;10.01-S300C;kleštì SIKO 300mm leštìné PVC;131
Proteco 10.01-SA180;10.01-SA180;kleštì SIKO  180 mm RAPID automat;253
Proteco 10.01-SA240;10.01-SA240;kleštì SIKO  240 mm RAPID automat;316
Proteco 10.01-SA300;10.01-SA300;kleštì SIKO  300 mm RAPID automat;387
Proteco 10.01-SC180;10.01-SC180;kleštì Siko MAMBA 180mm rychlostavitelné;363
Proteco 10.01-SC240;10.01-SC240;kleštì Siko MAMBA 240mm rychlostavitelné;451
Proteco 10.01-SC300;10.01-SC300;kleštì Siko MAMBA 300mm rychlostavitelné;651
Proteco 10.01-SS250A;10.01-SS250A;kleštì SIKO 250mm se støedním èepem Ni dvouplast;128
Proteco 10.01-SS250C;10.01-SS250C;kleštì SIKO 250mm se støedním èepem leštìné PVC;122
Proteco 10.01-SS300A;10.01-SS300A;kleštì SIKO 300mm se støedním èepem Ni dvouplast;206
Proteco 10.01-SS300C;10.01-SS300C;kleštì SIKO 300mm se støedním èepem leštìné PVC;194
Proteco 10.03-18-3000;10.03-18-3000;kladivo pøedtloukací 3000g PROTECO;414
Proteco 10.03-18-4000;10.03-18-4000;kladivo pøedtloukací 4000g PROTECO;604
Proteco 10.03-18-5000;10.03-18-5000;kladivo pøedtloukací 5000g PROTECO;641
Proteco 10.03-18-6000;10.03-18-6000;kladivo pøedtloukací 6000g PROTECO;763
Proteco 10.03-18-8000;10.03-18-8000;kladivo pøedtloukací 8000g PROTECO;930
Proteco 10.03-28-0100;10.03-28-0100;kladivo zámeènické 100g PROTECO;49
Proteco 10.03-28-0150;10.03-28-0150;kladivo zámeènické 150g PROTECO;58
Proteco 10.03-28-0200;10.03-28-0200;kladivo zámeènické 200g PROTECO;66
Proteco 10.03-28-0250;10.03-28-0250;kladivo zámeènické 250g PROTECO;68
Proteco 10.03-28-0300;10.03-28-0300;kladivo zámeènické 300g PROTECO;83
Proteco 10.03-28-0400;10.03-28-0400;kladivo zámeènické 400g PROTECO;94
Proteco 10.03-28-0500;10.03-28-0500;kladivo zámeènické 500g PROTECO;104
Proteco 10.03-28-0600;10.03-28-0600;kladivo zámeènické 600g PROTECO;123
Proteco 10.03-28-0800;10.03-28-0800;kladivo zámeènické 800g PROTECO;137
Proteco 10.03-28-1000;10.03-28-1000;kladivo zámeènické 1000g PROTECO;156
Proteco 10.03-28-1500;10.03-28-1500;kladivo zámeènické 1500g PROTECO;237
Proteco 10.03-28-2000;10.03-28-2000;kladivo zámeènické 2000g PROTECO;296
Proteco 10.03-603-0800;10.03-603-0800;palice na kámen   800g PROTECO;147
Proteco 10.03-603-1000;10.03-603-1000;palice na kámen 1000g PROTECO;175
Proteco 10.03-603-1500;10.03-603-1500;palice na kámen 1500g PROTECO;237
Proteco 10.03-603-2000;10.03-603-2000;palice na kámen 2000g PROTECO;246
Proteco 10.03-603-3000;10.03-603-3000;palice na kámen 3000g PROTECO;471
Proteco 10.03-603-4000;10.03-603-4000;palice na kámen 4000g PROTECO;533
Proteco 10.03-603-5000;10.03-603-5000;palice na kámen 5000g PROTECO;768
Proteco 10.03-603-6000;10.03-603-6000;palice na kámen 6000g PROTECO;884
Proteco 10.03-603-8000;10.03-603-8000;palice na kámen 8000g PROTECO;1082
Proteco 10.05-PN-10;10.05-PN-10;pásmo nylon 10m x 13mm;74
Proteco 10.05-PN-20;10.05-PN-20;pásmo nylon 20m x 13mm;106
Proteco 10.05-PN-30;10.05-PN-30;pásmo nylon 30m x 13mm;143
Proteco 10.05-PN-50;10.05-PN-50;pásmo nylon 50m x 13mm;220
Proteco 10.05-PO-20;10.05-PO-20;pásmo ocelové 20m x 12.5mm;225
Proteco 10.05-PO-30;10.05-PO-30;pásmo ocelové 30m x 12.5mm;298
Proteco 10.05-PO-50;10.05-PO-50;pásmo ocelové 50m x 12.5mm;465
Proteco 10.05-PO-50N;10.05-PO-50N;pásmo ocelové 50m x 12.5mm nylon povrch na køíi;353
Proteco 10.05-S02;10.05-S02;metr svinovací   2 m/16mm gumové pouzdro;28
Proteco 10.05-S03;10.05-S03;metr svinovací   3 m/16mm gumové pouzdro;29
Proteco 10.05-S05;10.05-S05;metr svinovací   5 m/19mm gumové pouzdro;67
Proteco 10.05-S07;10.05-S07;metr svinovací   7.5 m/25mm gumové pouzdro;76
Proteco 10.05-S10;10.05-S10;metr svinovací  10 m/25mm gumové pouzdro;104
Proteco 10.05-SA03;10.05-SA03;metr svinovací   3 m/16mm ACRYL magn.hl., akryl.povrch;39
Proteco 10.05-SA05;10.05-SA05;metr svinovací   5 m/19mm ACRYL magn.hl., akryl.povrch;52
Proteco 10.05-SA07;10.05-SA07;metr svinovací   7.5 m/25mm ACRYL magn.hl., akryl.povrch;72
Proteco 10.05-SA10;10.05-SA10;metr svinovací  10 m/25mm ACRYL magn.hl., akryl.povrch;81
Proteco 10.05-SN02;10.05-SN02;metr svinovací   2 m/16mm NYLON magn.hl. gum.pouzdro;33
Proteco 10.05-SN03;10.05-SN03;metr svinovací   3 m/16mm NYLON magn.hl. gum.pouzdro;39
Proteco 10.05-SN05;10.05-SN05;metr svinovací   5 m/19mm NYLON magn.hl. gum.pouzdro;75
Proteco 10.05-SN07;10.05-SN07;metr svinovací   7.5 m/25mm NYLON magn.hl. gum.pouzdro;87
Proteco 10.05-SN10;10.05-SN10;metr svinovací  10 m/25mm NYLON magn.hl. gum.pouzdro;100
Proteco 10.05-V01-0600;10.05-V01-0600;vodováha Al   60cm 3 libely PROTECO;229
Proteco 10.05-V01-0800;10.05-V01-0800;vodováha Al   80cm 3 libely PROTECO;280
Proteco 10.05-V01-1000;10.05-V01-1000;vodováha Al 100cm 3 libely PROTECO;327
Proteco 10.05-V01-1200;10.05-V01-1200;vodováha Al 120cm 3 libely PROTECO;378
Proteco 10.05-V01-1500;10.05-V01-1500;vodováha Al 150cm 3 libely PROTECO;441
Proteco 10.05-V01-1800;10.05-V01-1800;vodováha Al 180cm 3 libely PROTECO;357
Proteco 10.05-V01-2000;10.05-V01-2000;vodováha Al 200cm 3 libely PROTECO;570
Proteco 10.05-V02-0600;10.05-V02-0600;vodováha Al 60cm s pravítkem 5 libel PROTECO;290
