Narex 00617023;00617023;109;10
Narex 00617024;00617024;119;10
Narex 00617025;00617025;119;10
Narex 00617026;00617026;109;10
Narex 00617027;00617027;119;10
Narex 00617028;00617028;119;10
Narex 00617029;00617029;140;10
Narex 00617030;00617030;140;10
Narex 00617031;00617031;119;10
Narex 00617032;00617032;140;10
Narex 00617033;00617033;162;10
Narex 00617034;00617034;162;10
Narex 00617035;00617035;162;10
Narex 00617036;00617036;151;10
Narex 00617037;00617037;162;10
Narex 00617038;00617038;162;10
Narex 00617039;00617039;162;10
Narex 00617040;00617040;182;10
Narex 00617041;00617041;162;10
Narex 00617042;00617042;205;10
Narex 00617043;00617043;205;10
Narex 00617044;00617044;205;10
Narex 00617045;00617045;205;10
Narex 00617046;00617046;182;10
Narex 00617047;00617047;205;10
Narex 00617048;00617048;205;10
Narex 00617049;00617049;205;10
Narex 00617050;00617050;205;10
Narex 00617051;00617051;182;10
Narex 00617052;00617052;227;10
Narex 00617053;00617053;227;10
Narex 00617054;00617054;227;10
Narex 00617055;00617055;227;10
Narex 00617056;00617056;216;10
Narex 00617057;00617057;258;10
Narex 00617058;00617058;258;10
Narex 00617059;00617059;258;10
Narex 00617060;00617060;258;10
Narex 00617061;00617061;270;10
Narex 00617062;00617062;344;10
Narex 00617063;00617063;344;10
Narex 00617064;00617064;344;10
Narex 00617065;00617065;344;10
Narex 00617066;00617066;312;10
Narex 00617067;00617067;366;10
Narex 00617068;00617068;366;10
Narex 00617069;00617069;366;10
Narex 00617070;00617070;366;10
Narex 00617071;00617071;334;10
Narex 00617072;00617072;387;10
Narex 00617073;00617073;387;10
Narex 00617074;00617074;387;10
Narex 00617075;00617075;387;10
Narex 00617076;00617076;344;10
Narex 00617077;00617077;452;10
Narex 00617078;00617078;452;10
Narex 00617079;00617079;452;10
Narex 00617080;00617080;452;10
Narex 00617081;00617081;419;10
Narex 00617082;00617082;527;10
Narex 00617083;00617083;527;10
Narex 00617084;00617084;527;10
Narex 00617085;00617085;527;10
Narex 00617086;00617086;452;10
Narex 00617087;00617087;559;10
Narex 00617088;00617088;559;10
Narex 00617089;00617089;559;10
Narex 00617090;00617090;559;10
Narex 00617091;00617091;527;10
Narex 00617092;00617092;371;10
Narex 00617093;00617093;371;10
Narex 00617094;00617094;424;10
Narex 00617095;00617095;424;10
Narex 00617096;00617096;463;10
Narex 00617097;00617097;565;10
Narex 00617098;00617098;532;10
Narex 00647586;00647586;153;10
Narex 00617170;00617170;511;10
Narex 00617171;00617171;1024;10
Narex 00763364;00763364;217;10
Narex 00763365;00763365;217;10
Narex 00763366;00763366;217;10
Narex 00763367;00763367;217;10
Narex 00763368;00763368;207;10
Narex 00763369;00763369;207;10
Narex 00763370;00763370;207;10
Narex 00763371;00763371;175;10
Narex 00763372;00763372;197;10
Narex 00763373;00763373;197;10
Narex 00763374;00763374;197;10
Narex 00763375;00763375;197;10
Narex 00763376;00763376;187;10
Narex 00763377;00763377;187;10
Narex 00763378;00763378;187;10
Narex 00763379;00763379;187;10
Narex 00763380;00763380;187;10
Narex 00763381;00763381;134;10
Narex 00763382;00763382;165;10
Narex 00763383;00763383;165;10
Narex 00763384;00763384;165;10
Narex 00763385;00763385;165;10
Narex 00763386;00763386;165;10
Narex 00763387;00763387;187;10
Narex 00763388;00763388;187;10
Narex 00763389;00763389;187;10
Narex 00763390;00763390;187;10
Narex 00763391;00763391;165;10
Narex 00763392;00763392;197;10
Narex 00763393;00763393;197;10
Narex 00763394;00763394;197;10
Narex 00763395;00763395;197;10
Narex 00763396;00763396;197;10
Narex 00763397;00763397;228;10
Narex 00763398;00763398;228;10
Narex 00763399;00763399;228;10
Narex 00763400;00763400;228;10
Narex 00763401;00763401;217;10
Narex 00763402;00763402;248;10
Narex 00763403;00763403;248;10
Narex 00763404;00763404;248;10
Narex 00763405;00763405;248;10
Narex 00763406;00763406;248;10
Narex 00763407;00763407;269;10
Narex 00763408;00763408;269;10
Narex 00763409;00763409;279;10
Narex 00763410;00763410;279;10
Narex 00763411;00763411;269;10
Narex 00763412;00763412;341;10
Narex 00763413;00763413;341;10
Narex 00763414;00763414;341;10
Narex 00763415;00763415;341;10
Narex 00763416;00763416;341;10
